relationA,relationshipType,relationB
T_space_systems,hasEduConcept,axis
T_space_systems,hasEduConcept,north_pole
T_space_systems,hasEduConcept,south_pole
T_space_systems,hasEduConcept,day
T_space_systems,hasEduConcept,month
T_space_systems,hasEduConcept,year
Grade_5,hasEduTopic,T_figurative
Grade_5,hasEduTopic,T_language
Grade_5,hasEduTopic,T_metaphors
Grade_5,hasEduTopic,T_simile
Grade_5,hasEduTopic,T_tone
Grade_5,hasEduTopic,T_fiction
Grade_5,hasEduTopic,T_folktale
Grade_5,hasEduTopic,T_myth
Grade_5,hasEduTopic,T_poem
T_figurative,hasEduConcept,figurative
T_language,hasEduConcept,language
T_metaphors,hasEduConcept,metaphors
T_simile,hasEduConcept,simile
T_tone,hasEduConcept,tone
T_fiction,hasEduConcept,fiction
T_folktale,hasEduConcept,folktale
T_myth,hasEduConcept,myth
T_fraction,hasEduConcept,fraction
T_number,hasEduConcept,number
T_measurement,hasEduConcept,data
T_base_ten,hasEduConcept,ten
T_base_ten,hasEduConcept,base
T_proportion,hasEduConcept,proportion
T_expressions,hasEduConcept,expressions
T_number_system,hasEduConcept,number
T_number_system,hasEduConcept,system
T_statistics,hasEduConcept,statistics
T_equations,hasEduConcept,equations
T_equations,hasEduConcept,equation
T_probability,hasEduConcept,probability
T_counting,hasEduConcept,cardinal
T_cardinality,hasEduConcept,cardinal
T_cardinality,hasEduConcept,counting
T_counting_and_cardinality,hasEduConcept,numerals
T_counting_and_cardinality,hasEduConcept,matching
T_geometry,hasEduConcept,size
T_geometry,hasEduConcept,two
T_geometry,hasEduConcept,plane
T_geometry,hasEduConcept,solid
T_geometry,hasEduConcept,dimensional
T_geometry,hasEduConcept,flat
T_geometry,hasEduConcept,vertices
T_geometry,hasEduConcept,triangle
T_geometry,hasEduConcept,rectangle
T_geometry,hasEduConcept,corners
T_geometry,hasEduConcept,length
T_geometry,hasEduConcept,components
T_geometry,hasEduConcept,attributes
T_geometry,hasEduConcept,color
T_geometry,hasEduConcept,orientation
T_geometry,hasEduConcept,square
T_geometry,hasEduConcept,trapezoid
T_geometry,hasEduConcept,half_circle
T_geometry,hasEduConcept,quarter
T_geometry,hasEduConcept,cubes
T_geometry,hasEduConcept,circles
T_geometry,hasEduConcept,prism
T_geometry,hasEduConcept,cones
T_geometry,hasEduConcept,cylinders
T_geometry,hasEduConcept,composite
T_geometry,hasEduConcept,cone
T_geometry,hasEduConcept,cylinder
T_geometry,hasEduConcept,quarters
T_geometry,hasEduConcept,quadrilaterals
T_geometry,hasEduConcept,pentagons
T_geometry,hasEduConcept,hexagons
T_geometry,hasEduConcept,areas
T_geometry,hasEduConcept,symmetry
T_geometry,hasEduConcept,figure
T_geometry,hasEduConcept,quadrant
T_geometry,hasEduConcept,coordinate
T_geometry,hasEduConcept,coordinates
T_geometry,hasEduConcept,x_axis
T_geometry,hasEduConcept,y_axis
T_geometry,hasEduConcept,x_coordinate
T_geometry,hasEduConcept,y_coordinate
T_geometry,hasEduConcept,polygons
T_geometry,hasEduConcept,protractor
T_geometry,hasEduConcept,pyramids
T_geometry,hasEduConcept,circumference
T_geometry,hasEduConcept,volume
T_geometry,hasEduConcept,surface
T_geometry,hasEduConcept,prisms
T_shapes,hasEduConcept,quadrilaterals
T_shapes,hasEduConcept,pentagons
T_shapes,hasEduConcept,hexagons
T_shapes,hasEduConcept,cubes
T_shapes,hasEduConcept,rhombuses
T_shapes,hasEduConcept,square
T_shapes,hasEduConcept,trapezoid
T_shapes,hasEduConcept,half_circle
T_shapes,hasEduConcept,quarter_circle
T_shapes,hasEduConcept,circles
T_operations,hasEduConcept,addition
T_operations,hasEduConcept,subtraction
T_operations,hasEduConcept,fingers
T_operations,hasEduConcept,metal_images
T_operations,hasEduConcept,drawings
T_operations,hasEduConcept,expressions
T_operations,hasEduConcept,equations
T_operations,hasEduConcept,word_problems
T_operations,hasEduConcept,sum
T_operations,hasEduConcept,objects
T_operations,hasEduConcept,symbol
T_operations,hasEduConcept,whole_numbers
T_operations,hasEduConcept,unknown
T_operations,hasEduConcept,equal
T_operations,hasEduConcept,sign
T_operations,hasEduConcept,true
T_operations,hasEduConcept,false
T_operations,hasEduConcept,true_and_false
T_operations,hasEduConcept,mental_strategy
T_operations,hasEduConcept,rectangular
T_operations,hasEduConcept,arrays
T_operations,hasEduConcept,rows
T_operations,hasEduConcept,columns
T_operations,hasEduConcept,product
T_operations,hasEduConcept,quotient
T_operations,hasEduConcept,multiplication
T_operations,hasEduConcept,division
